champ_KSante_t1,champ_KSante_t2,champ_Xin Zhao_t1,champ_Xin Zhao_t2,champ_Nautilus_t1,champ_Nautilus_t2,champ_Varus_t1,champ_Varus_t2,champ_Rell_t1,champ_Rell_t2,champ_Corki_t1,champ_Corki_t2,champ_Rumble_t1,champ_Rumble_t2,champ_Ezreal_t1,champ_Ezreal_t2,champ_Alistar_t1,champ_Alistar_t2,champ_Renekton_t1,champ_Renekton_t2,champ_Rakan_t1,champ_Rakan_t2,champ_Azir_t1,champ_Azir_t2,champ_Lucian_t1,champ_Lucian_t2,champ_Taliyah_t1,champ_Taliyah_t2,champ_Vi_t1,champ_Vi_t2,champ_Ambessa_t1,champ_Ambessa_t2,champ_Ryze_t1,champ_Ryze_t2,champ_Jhin_t1,champ_Jhin_t2,champ_Sion_t1,champ_Sion_t2,champ_Pantheon_t1,champ_Pantheon_t2,champ_Leona_t1,champ_Leona_t2,champ_Kaisa_t1,champ_Kaisa_t2,champ_Ahri_t1,champ_Ahri_t2,champ_Miss Fortune_t1,champ_Miss Fortune_t2,champ_Aurora_t1,champ_Aurora_t2,champ_Neeko_t1,champ_Neeko_t2,champ_Gnar_t1,champ_Gnar_t2,champ_Orianna_t1,champ_Orianna_t2,champ_Karma_t1,champ_Karma_t2,champ_Ashe_t1,champ_Ashe_t2,champ_Jarvan IV_t1,champ_Jarvan IV_t2,champ_Jayce_t1,champ_Jayce_t2,champ_Wukong_t1,champ_Wukong_t2,champ_Maokai_t1,champ_Maokai_t2,champ_Poppy_t1,champ_Poppy_t2,champ_Lee Sin_t1,champ_Lee Sin_t2,champ_Braum_t1,champ_Braum_t2,champ_Sejuani_t1,champ_Sejuani_t2,champ_Annie_t1,champ_Annie_t2,champ_Jax_t1,champ_Jax_t2,team1_champ_wr_avg,team2_champ_wr_avg,game_id,team1_win,total_kills
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4819901960784314,0.49255952380952384,54584,1,19
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5173494983277591,0.48335796387520524,54585,0,25
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5191044417767107,0.5421130952380953,54593,0,17
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5557257275617511,0.44991849816849816,54594,1,25
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5013986013986014,0.5415723443223444,54590,0,18
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5388951075925865,0.47467382154882154,54591,1,22
0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5046516461657127,0.4493055555555555,54599,0,28
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.4595454545454546,0.5258787878787878,54600,0,16
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5262820512820513,0.4984418767507003,54601,1,26
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5534091487790593,0.4736085904416213,54596,0,14
